Numero	Nom	Nom_recherche	Prenom	Autre_nom	Autre_prenom	Sexe	Dates_vie	Lieu_naiss	Date_naiss	Date_naiss_complete	Date_mort	Date_mort_complete	Musicien	S16	S17	S18	S19	S20	Vivant	Lettres	Profession	Domaine	Valdensia1	Valdensia2	Date_creation	Date_modification	Signature	Encours	Wikipedia	ArchiveBN
1	Abbas	ABBAS	Rashid			H	-1956		1956		9999		0	0	0	0	0	0	1	abb	sculpteur / peintre / dessinateur / enseignant	sculpture / peinture / dessin / enseignement	ParVDAC	 	16/07/1993	01/11/2013	BS	1	0	0
2	Acatos	ACATOS	Sylvio			H	-1939	Téhéran (Iran)	1939	08/11/1939	9999		0	0	0	0	0	0	1	aca	éditeur / journaliste (art) / critique d'art	édition / art / critique artistique / vente aux enchères	ParVDAS	 		21/08/2015	BS	0	18	0
3	Aeschlimann	AESCHLIMANN	Richard			H	-1944	Yverdon-les-Bains	1944	21/02/1944	9999		0	0	0	0	0	0	1	aes	peintre / dessinateur / graveur / écrivain / essayiste	beaux-arts / littérature / dessin / gravure / science-fiction	VDAC	 	16/07/1993	05/09/2017	BS	0	10	1
4	Agassiz	AGASSIZ	Louis		Louis-Jean-Rodolphe Agassiz	H	1807-1873	Môtier en Vully	1807	1807.05.28	1873	1873.12.14	0	0	0	0	1	0	0	aga	naturaliste / médecin / zoologue / glaciologue	médecine / zoologie / glaciologie	VDAS	VDAC		24/11/2013	BS	0	20	0
5	Aloïse	ALOISE		Aloïse Corbaz		F	1886-1964	Lausanne	1886	1886.06.28	1964	05/04/1964	0	0	0	0	1	0	0	alo	artiste peintre	peinture / art brut / Cery	VDAC	 		16/10/2013	BS	0	1	0
6	Amedee	AMEDEE	Saint (Evêque de Lausanne)	Saint Amédée, évêque de Lausanne		H	1110-1159	Chatte (Dauphiné)	1110		1159	1159.08.27	0	0	0	0	0	0	0	ame	évêque	évêché de Lausanne	VDAC	VDAS		06/12/2013	STAG1	1	0	0
7	Ansermet	ANSERMET	Ernest			H	1883-1969	Vevey	1883	1883.11.11	1969	20/02/1969	1	0	0	0	1	0	0	ans	musicien / chef d'orchestre	musique / direction d'orchestre	VDAC	 		29/09/2014	VM	0	16	0
8	Apothéloz	APOTHELOZ	Charles			H	1922-1982	Lausanne	1922	30/05/1922	1982	24/05/1982	0	0	0	0	0	1	0	apoc	metteur en scène / juriste / champion suisse de relais 4x100 / bellettrien	théâtre / musique / Société Belles-Lettres	VDAC	 		24/05/2014	BS	0	0	0
9	Auberjonois	AUBERJONOIS	René		René Victor Auberjonois	H	1872-1957	Lausanne	1872	1872.08.18	1957	11/10/1957	0	0	0	0	1	0	0	aub	artiste peintre / dessinateur / caricaturiste / illustrateur	beaux-arts / peinture	VDAC	 		24/10/2012	TD	0	7	0
10	Auberson	AUBERSON	Jean-Marie			H	1920-2004	Chavornay	1920	02/05/1920	2004	04/07/2004	1	0	0	0	0	1	0	aubj	musicien / chef d'orchestre / violoniste	musique / direction / violon	VDAC	 		09/02/2017	BS	0	6	0
